# ################
# FRESCO HA emitter catalogue v2
# root: GOODS fields identifier: fresco-only-n-v2 and fresco-only-s-v2 for single-component sources; multigalaxies-GN and multigalaxies-GS for multi-component sources
# id: ID from the FRESCO grizli data reduction v7.3
# multi_ids: for multi-component galaxies, id number of each component
# ra, dec: coordinates of the source in the F210M+F444W image from the FRESCO grizli data reduction v7.3 (also see further Weibel+2024)
# q_mean : Visual inspection quality flag, averaged over 4 inspections
# z : redshift of the HA emitter
# flux_HA, err_HA : grizli best-fit line flux and error using a fixed redshift in cgi units [erg/s/cm**2]
# Muv, Muv_err: rest-frame absolute UV magnitude [AB] and error from the fluxes of filters that lay on the rest-frame UV
# flux_det_img, flux_det_img_err: combined F444W+F210M flux and error in nJy from the FRESCO grizli data reduction v7.3. PSF-matched, aperture-corrected fluxes and errors with 5% error floor (also see further Weibel+2024 for details on the imaging data reduction)
# ################
root id multi_ids ra dec q_mean z flux_HA err_HA Muv Muv_err flux_det_img flux_det_img_err
fresco-only-n-v2 21748 - 189.21777 62.2313800 2.0 5.357 1.017e-18 2.083e-19 -18.940 0.079 43.938 4.405
fresco-only-n-v2 22086 - 189.19395 62.2303400 2.0 5.414 1.036e-18 2.219e-19 -18.653 0.031 21.306 4.143
fresco-only-n-v2 22175 - 189.05258 62.2298900 3.0 5.296 2.760e-18 1.299e-19 -19.876 0.063 135.001 6.008
fresco-only-n-v2 22409 - 189.12591 62.2291500 3.0 5.180 9.017e-18 3.422e-19 -20.843 0.045 323.404 5.777
fresco-only-n-v2 22555 - 189.04808 62.2286700 1.75 5.854 2.329e-18 3.602e-19 -19.182 0.088 36.921 4.655
fresco-only-n-v2 22648 - 189.27349 62.2283300 1.75 5.182 3.335e-18 4.651e-19 -20.643 0.022 129.145 9.744
fresco-only-n-v2 22726 - 189.12135 62.2282400 3.0 5.357 3.885e-18 3.166e-19 -19.500 0.113 60.193 4.869
fresco-only-n-v2 22899 - 189.13329 62.2275100 2.75 5.176 1.245e-17 4.104e-19 -20.972 0.046 550.193 8.293
fresco-only-n-v2 22918 - 189.13067 62.2275200 2.25 5.174 2.526e-18 1.911e-19 -18.927 0.058 30.271 3.248
fresco-only-n-v2 23106 - 189.13259 62.2267400 2.75 5.178 4.183e-18 2.395e-19 -19.982 0.035 108.140 3.743
fresco-only-n-v2 23191 - 189.31755 62.2265100 2.5 4.957 4.150e-18 2.254e-19 -19.680 0.059 67.167 4.898
fresco-only-n-v2 23493 - 189.11035 62.2254400 3.0 5.347 1.334e-17 4.328e-19 -20.760 0.047 207.710 5.319
fresco-only-n-v2 23520 - 189.26379 62.2254100 3.0 5.213 2.027e-17 4.319e-19 -20.842 0.050 262.506 7.031
fresco-only-n-v2 23526 - 189.13536 62.2253500 3.0 5.180 7.544e-18 2.663e-19 -21.059 0.032 218.145 3.957
fresco-only-n-v2 23600 - 189.23741 62.2281100 3.0 5.612 4.821e-18 2.529e-19 -20.296 0.085 102.050 5.863
